created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:14:00 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523546809918193664,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Eşşek bilmediği otu yerse başı ağırırmış,Sat May 18 11:42:56 +0000 2019,20,False,None,1129713978932908032,BarisKusen
Mon May 09 06:14:24 +0000 2022,1322830556040695812,,,@GlhanUur1 Rabbim Şafii ismi hürmetine şifasını versin inşallah kardeşim. Endişe etme genel mevsimsel bir salgın va… https://t.co/RWPtJhNsqQ,1523546913190313984,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Wed Jan 26 11:50:53 +0000 2022,2970,False,None,1486305360713502722,mahmutceylan07
Mon May 09 06:15:44 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523547246360674304,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Fri Mar 08 19:53:22 +0000 2013,2,False,None,1252596836,xomabek
Mon May 09 06:15:56 +0000 2022,None,1523497129922154500,retweet,"RT @Nurgul908: Gözünüze nûr gönlünüze şifa vercek, elinizden tutup sizi Cennete götürecek iyi insanlarla karşılaştırsın Rab'bim. #Yenihaft…",1523547296385830912,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Wed Oct 23 12:58:01 +0000 2019,2431,False,None,1186990106848182273,aknefer03
Mon May 09 06:16:17 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523547384076464129,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",+Herkese Muhalefet  +Siyaset bilimi ve kamu yönetimi okuyor... +Adalet meslek yüksekokulu mezunu.  +Fenerbahçe taraftarı.,Mon Nov 04 07:55:54 +0000 2013,8739,False,Türkiye,2173555218,_boyga
Mon May 09 06:16:30 +0000 2022,None,1523247565567033344,retweet,RT @celebimehmeta: Biraz utanman olsa sokağa çıkamazdın Nagehan Alçı! https://t.co/qhOQToa7kI,1523547439856513024,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",We are the Warrior of God 🙏🍀🕊  #NBCSWIC #WWG1WGA #FROMDARKTOTHELIGHT #SAVETHECHILDEREN 🇺🇸🦅🇹🇷🐺,Tue May 03 09:22:57 +0000 2022,39,False,None,1521419909514866690,TheWarriorOfTi1
Mon May 09 06:16:37 +0000 2022,None,1523247565567033344,retweet,RT @celebimehmeta: Biraz utanman olsa sokağa çıkamazdın Nagehan Alçı! https://t.co/qhOQToa7kI,1523547468205821957,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Fri Oct 07 18:14:37 +0000 2016,8,False,None,784456911504703488,ayfer_avsar
Mon May 09 06:17:24 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523547665463934976,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",memet,Mon Mar 23 12:59:37 +0000 2020,330,False,None,1242073463461904384,MehmetD52412475
Mon May 09 06:18:15 +0000 2022,None,1523424278149881857,retweet,"RT @millibekacelal2: Çorumu ülke yapan ,mersini güneydoğuya bağlayan ,kağıthaneyi kağıttepe yapan abim başkan olsa bu yurda neler yapmaz .a…",1523547880552038400,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Tue Jan 18 20:43:29 +0000 2022,151,False,None,1483540423549272064,MRS0410
Mon May 09 06:19:02 +0000 2022,None,1523513265510305792,retweet,RT @hapancuk: #Günaydın #Pazartesi Hayırlı Sabahlar Hayırlı İşler Hayırlı Haftalar Rabbim İşinizi Gücünüzü Rast Getirsin #ordu #mesudiye #a…,1523548075939479552,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",🦅🦅🦅 🌼🍃🌼,Sun Jan 17 17:41:49 +0000 2021,1601,False,None,1350860772990181378,aysetam33
Mon May 09 06:19:43 +0000 2022,None,1523488645549764608,retweet,RT @alibekirdogan: @Gurbuz_KARAKUS Amin. Bilmukabele. İnşaallah. Rab'bim duğalarınızı kabul ve karin eylesin. C. Allah bütün islam alemini…,1523548249587875840,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Wed Oct 27 19:52:08 +0000 2021,297,False,None,1453449386546155535,1TurnaHatun
Mon May 09 06:19:56 +0000 2022,None,1523319739908386816,retweet,RT @bgyether: Ağbim 🥲 https://t.co/LNDliVyUuk,1523548304541626368,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",XXIV. 24.11.2030,Thu Nov 05 18:54:41 +0000 2020,1057,False,Venera,1324424852820889600,Lucirustam
Mon May 09 06:20:12 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523548372522573824,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Trollici Kraliçe değilim, Han'ınız Hakan'ınız Börteçineyim. Börteçinem diyeceksiniz Burası Türk Budunu Bir Bozkut uluması ile Şafak Sököcek",Sat Dec 25 21:04:58 +0000 2021,5259,False,None,1474848614879010822,Tigenci_Kiz
Mon May 09 06:20:33 +0000 2022,None,1523459556512190467,retweet,RT @TheBullduck: -Asya marketleri makro endişelerle haftaya negatif başladı. Bu hafta takibimizde olacak gelişmeler: 🔸Nisan ayıyla birlikt…,1523548459412131841,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Thu May 19 17:35:53 +0000 2016,49,False,None,733350478424211456,krc_abraham
Mon May 09 06:20:46 +0000 2022,1205111495027240961,,,"@HaberReport Yemin ediyorum artık, millet gerizekalı. Baştakiler bizi kuru ekmeğe layık görüyorlar. Ucuz Bim sucuğu… https://t.co/hZjRyhMuLu",1523548514961494016,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,Sat Feb 07 15:48:39 +0000 2015,8,False,None,3023317293,kapsamaalani76
Mon May 09 06:22:17 +0000 2022,882620114016796672,,,"@GulerKeske1 @t24comtr A101 den bim den ne olduğu belli olmayan sütleri içiririz diyorlar da,o da 10tlnin altında diil",1523548895610949632,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doğa ve hayvanları çok seven,adalet düşkünü,ATATÜRKÇÜ,BEŞİKTAŞLI ve atanamayanlardan😜",Thu Feb 16 13:26:17 +0000 2017,8787,False,Türkiye,832219551412654080,Bernado0707
