created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:15:27 +0000 2022,,1523457476779073536,retweet,"RT @GurajpalSangha: Another spring snow in the #Sierra is causing travel headaches. This back up is on Westbound I-80 in Soda Springs, CHP…",1523547176177086464,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",News Reporter and Anchor for @FOX40,Sat Apr 21 23:12:02 +0000 2012,1452,True,Sacramento ,560005962,EricRuckerfox40
Mon May 09 06:15:44 +0000 2022,,1523453735590305792,retweet,RT @aarondmiller2: Didn't know that it would be Erdogan's future son-in-law - one Selcuk Bayraktar an MIT-trained engineer - who designed t…,1523547246943682560,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Too old, too soon. Re tweets do not signify an endorsement, likes are, unsurprisingly ...comments I like, find funny, or think important.",Thu Aug 07 09:52:22 +0000 2014,1137,False,,2714211823,lostindisco
Mon May 09 06:17:15 +0000 2022,,1522459899980046336,quote,"Such an excellent, easy to follow podcast on #EastCoastFever by @ILRI! A devastating cattle disease for smallscale… https://t.co/vIUA6mT0Lq",1523547626725318658,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Veterinarian with a passion for #livestock, #vaccines, #OneHealth and #foodsecurity innovations. @Livestock_IDRC @IDRC_CRDI @IDRC_ESARO",Wed Jul 20 16:00:17 +0000 2011,452,False,"Nairobi, Kenya",339102919,victor_mbao
Mon May 09 06:18:02 +0000 2022,,,,"I am proud to be a nurse and this is our week! Then here is our week plan to follow: ~ 09th May, 2022 (screening o… https://t.co/O79akpSNfC",1523547824884883458,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","am child of  God by Jesus death and resurrection 🙏🙏
My Redeemer lives🤸🎶🎵
John 3:16
 I surrender all to you Jesus!
Holy spirit come and take over🙏",Fri Aug 21 06:25:32 +0000 2020,1678,False,Jesus,1296694818828103681,Emmy_Nshuti250
Mon May 09 06:18:30 +0000 2022,,1523349463812636674,retweet,RT @_____mjb: Reminder that this church was destroyed when the Erdogan regime went to war against its own people because they had voted the…,1523547944729088000,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AANES enjoyer. ❤️☀️💚🫒,Sat Nov 10 17:39:46 +0000 2018,239,False,Between the river and the sea,1061312473247162368,Wodunce
Mon May 09 06:18:34 +0000 2022,,1523545825648939018,retweet,RT @RajeevJayadevan: Thank you @vinodscaria for organising this webinar. I have used a methodology that makes it easy for people without s…,1523547959354626049,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","senior fellow, health initiative, @orfonline. 
student of health policy. patient. optimist. marathon, not sprint.
#HealthForAll #SDGs #UHC.",Fri Jan 11 07:15:12 +0000 2008,11835,False,New Delhi,12104642,oommen
Mon May 09 06:18:36 +0000 2022,,,,Election day scan: 52WH: $CHIB $WEB 52WL: $CHP $EW $FRUIT $MEDIC $PHA $PXP &lt;20% ATH: $HVN $BNCOM $PHN $ICT $FILRT… https://t.co/xu7VP5496g,1523547970326519808,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Certified Securities Representative/Trader at Eastern Securities since 2010. Follow me for charts and price alerts. DM if you need port management advice 📈✈️🤙,Wed Jul 28 14:17:51 +0000 2010,725,False,Philippines,171926958,jian_choa
Mon May 09 06:20:03 +0000 2022,,,,CHP Incident Report: May 8 2022 11:14PM Traffic Collision -- No Injuries : Fair Oaks Blvd at Greenback Ln (JACK N THE BOX),1523548334580895745,"<a href=""https://californialocal.com"" rel=""nofollow"">California Local Telemetry2</a>",Voracious reader and community builder.,Tue Mar 09 21:21:35 +0000 2021,38,False,,1369397894508380164,CALocalSAC
Mon May 09 06:21:14 +0000 2022,,1523475543290974209,retweet,RT @ani_digital: Erdogan vows to send 1 million refugees back to Syria Read @ANI Story | https://t.co/fEGIoYUhFx #Erdogan #Refugees #Syri…,1523548631944806402,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jay Shree Ram 🙏, Jay Jagannath...
B pharmacy student💉🩸⚕️
Jay Bharat🇮🇳🚩
2nd account..",Thu Oct 14 07:00:34 +0000 2021,129,False,Odisha,1448544188123910146,Nil_aka_Nil
Mon May 09 06:21:31 +0000 2022,,,,"Now we know our ministers did OK against Covid, but I hear no apologies | Comment | The Sunday Times https://t.co/53ChPoQBGe",1523548703646121985,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Carpe diem!,Sat Feb 09 22:06:14 +0000 2013,245,False,"Oxford, England",1164193044,Oxon2020s
